"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",90,2489,13,2592,2022-02-03
"20 - 24",20,800,3,823,2022-02-03
"25 - 29",32,1359,3,1394,2022-02-03
"30 - 34",47,1914,13,1974,2022-02-03
"35 - 39",47,2088,12,2147,2022-02-03
"40 - 44",31,2423,19,2473,2022-02-03
"45 - 49",35,3696,32,3763,2022-02-03
"50 - 54",61,5598,95,5754,2022-02-03
"55 - 59",73,6761,168,7002,2022-02-03
"60 - 64",86,7003,327,7416,2022-02-03
"65 - 69",111,6943,671,7725,2022-02-03
"70 - 74",151,8197,1381,9729,2022-02-03
"75 - 79",167,7940,2332,10439,2022-02-03
"80 - 84",150,6386,2727,9263,2022-02-03
"85 - 89",131,4045,2026,6202,2022-02-03
">90",41,1819,878,2738,2022-02-03
