"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",83,4021,14,4118,2022-08-03
"20 - 24",8,1106,3,1117,2022-08-03
"25 - 29",17,1885,3,1905,2022-08-03
"30 - 34",16,2589,15,2620,2022-08-03
"35 - 39",12,2633,17,2662,2022-08-03
"40 - 44",18,2894,22,2934,2022-08-03
"45 - 49",20,4189,45,4254,2022-08-03
"50 - 54",38,6420,116,6574,2022-08-03
"55 - 59",56,7879,202,8137,2022-08-03
"60 - 64",74,8476,400,8950,2022-08-03
"65 - 69",96,8824,783,9703,2022-08-03
"70 - 74",149,10564,1579,12292,2022-08-03
"75 - 79",176,10520,2665,13361,2022-08-03
"80 - 84",171,8903,3079,12153,2022-08-03
"85 - 89",121,5999,2351,8471,2022-08-03
">90",77,2840,1099,4016,2022-08-03
