"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",69,3757,13,3839,2022-06-13
"20 - 24",5,1053,3,1061,2022-06-13
"25 - 29",11,1810,3,1824,2022-06-13
"30 - 34",11,2498,15,2524,2022-06-13
"35 - 39",11,2555,16,2582,2022-06-13
"40 - 44",21,2820,22,2863,2022-06-13
"45 - 49",13,4095,42,4150,2022-06-13
"50 - 54",39,6299,113,6451,2022-06-13
"55 - 59",40,7663,198,7901,2022-06-13
"60 - 64",46,8161,386,8593,2022-06-13
"65 - 69",70,8403,761,9234,2022-06-13
"70 - 74",82,10056,1543,11681,2022-06-13
"75 - 79",126,9838,2602,12566,2022-06-13
"80 - 84",103,8290,3016,11409,2022-06-13
"85 - 89",97,5509,2297,7903,2022-06-13
">90",48,2566,1057,3671,2022-06-13
