"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",69,4655,18,4742,2023-01-10
"20 - 24",3,1195,4,1202,2023-01-10
"25 - 29",15,2036,3,2054,2023-01-10
"30 - 34",18,2777,17,2812,2023-01-10
"35 - 39",15,2822,18,2855,2023-01-10
"40 - 44",18,3084,24,3126,2023-01-10
"45 - 49",17,4407,48,4472,2023-01-10
"50 - 54",33,6811,125,6969,2023-01-10
"55 - 59",51,8410,229,8690,2023-01-10
"60 - 64",59,9278,426,9763,2023-01-10
"65 - 69",109,9925,854,10888,2023-01-10
"70 - 74",141,12080,1690,13911,2023-01-10
"75 - 79",181,12483,2859,15523,2023-01-10
"80 - 84",171,10828,3278,14277,2023-01-10
"85 - 89",160,7466,2559,10185,2023-01-10
">90",66,3630,1230,4926,2023-01-10
