"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",56,4699,18,4773,2023-01-26
"20 - 24",4,1196,4,1204,2023-01-26
"25 - 29",9,2050,3,2062,2023-01-26
"30 - 34",14,2788,17,2819,2023-01-26
"35 - 39",12,2836,18,2866,2023-01-26
"40 - 44",15,3094,24,3133,2023-01-26
"45 - 49",13,4422,49,4484,2023-01-26
"50 - 54",31,6831,127,6989,2023-01-26
"55 - 59",42,8469,231,8742,2023-01-26
"60 - 64",41,9334,429,9804,2023-01-26
"65 - 69",77,10042,860,10979,2023-01-26
"70 - 74",92,12213,1705,14010,2023-01-26
"75 - 79",139,12660,2882,15681,2023-01-26
"80 - 84",119,11025,3298,14442,2023-01-26
"85 - 89",87,7635,2577,10299,2023-01-26
">90",44,3710,1243,4997,2023-01-26
