"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",58,1854,11,1923,2021-12-04
"20 - 24",12,631,3,646,2021-12-04
"25 - 29",20,1065,2,1087,2021-12-04
"30 - 34",19,1539,12,1570,2021-12-04
"35 - 39",41,1733,11,1785,2021-12-04
"40 - 44",53,2096,16,2165,2021-12-04
"45 - 49",54,3333,30,3417,2021-12-04
"50 - 54",87,5057,82,5226,2021-12-04
"55 - 59",124,6094,149,6367,2021-12-04
"60 - 64",157,6202,278,6637,2021-12-04
"65 - 69",204,6117,576,6897,2021-12-04
"70 - 74",271,7178,1209,8658,2021-12-04
"75 - 79",339,6866,2055,9260,2021-12-04
"80 - 84",295,5519,2399,8213,2021-12-04
"85 - 89",223,3483,1780,5486,2021-12-04
">90",80,1551,759,2390,2021-12-04
