"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",60,1761,10,1831,2021-11-24
"20 - 24",6,610,3,619,2021-11-24
"25 - 29",25,1017,2,1044,2021-11-24
"30 - 34",36,1483,12,1531,2021-11-24
"35 - 39",39,1653,10,1702,2021-11-24
"40 - 44",52,2022,15,2089,2021-11-24
"45 - 49",68,3238,29,3335,2021-11-24
"50 - 54",89,4920,80,5089,2021-11-24
"55 - 59",85,5947,144,6176,2021-11-24
"60 - 64",151,6006,266,6423,2021-11-24
"65 - 69",193,5899,555,6647,2021-11-24
"70 - 74",246,6929,1169,8344,2021-11-24
"75 - 79",317,6590,1949,8856,2021-11-24
"80 - 84",301,5257,2279,7837,2021-11-24
"85 - 89",224,3291,1689,5204,2021-11-24
">90",104,1455,723,2282,2021-11-24
