"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",91,2841,11,2943,2022-02-20
"20 - 24",26,879,3,908,2022-02-20
"25 - 29",33,1488,3,1524,2022-02-20
"30 - 34",34,2112,13,2159,2022-02-20
"35 - 39",37,2231,12,2280,2022-02-20
"40 - 44",42,2528,20,2590,2022-02-20
"45 - 49",43,3792,33,3868,2022-02-20
"50 - 54",82,5745,98,5925,2022-02-20
"55 - 59",82,6944,171,7197,2022-02-20
"60 - 64",108,7202,336,7646,2022-02-20
"65 - 69",145,7145,688,7978,2022-02-20
"70 - 74",183,8485,1416,10084,2022-02-20
"75 - 79",202,8156,2372,10730,2022-02-20
"80 - 84",188,6627,2778,9593,2022-02-20
"85 - 89",129,4236,2072,6437,2022-02-20
">90",53,1907,905,2865,2022-02-20
