"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",86,2902,10,2998,2022-02-24
"20 - 24",17,897,3,917,2022-02-24
"25 - 29",26,1516,3,1545,2022-02-24
"30 - 34",25,2142,13,2180,2022-02-24
"35 - 39",29,2263,13,2305,2022-02-24
"40 - 44",38,2560,20,2618,2022-02-24
"45 - 49",33,3816,35,3884,2022-02-24
"50 - 54",74,5790,101,5965,2022-02-24
"55 - 59",77,7000,171,7248,2022-02-24
"60 - 64",110,7258,338,7706,2022-02-24
"65 - 69",142,7225,696,8063,2022-02-24
"70 - 74",176,8572,1417,10165,2022-02-24
"75 - 79",207,8246,2386,10839,2022-02-24
"80 - 84",169,6710,2801,9680,2022-02-24
"85 - 89",142,4290,2086,6518,2022-02-24
">90",47,1931,917,2895,2022-02-24
