"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,3670,11,3747,2022-05-02
"20 - 24",4,1040,3,1047,2022-05-02
"25 - 29",14,1775,3,1792,2022-05-02
"30 - 34",13,2473,15,2501,2022-05-02
"35 - 39",17,2527,15,2559,2022-05-02
"40 - 44",17,2789,22,2828,2022-05-02
"45 - 49",18,4062,41,4121,2022-05-02
"50 - 54",56,6219,111,6386,2022-05-02
"55 - 59",66,7578,195,7839,2022-05-02
"60 - 64",82,8048,374,8504,2022-05-02
"65 - 69",114,8237,751,9102,2022-05-02
"70 - 74",137,9837,1529,11503,2022-05-02
"75 - 79",169,9611,2575,12355,2022-05-02
"80 - 84",139,8059,2983,11181,2022-05-02
"85 - 89",136,5300,2269,7705,2022-05-02
">90",67,2454,1037,3558,2022-05-02
