"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",26,1405,6,1437,2021-08-19
"20 - 24",5,501,3,509,2021-08-19
"25 - 29",13,828,2,843,2021-08-19
"30 - 34",18,1199,11,1228,2021-08-19
"35 - 39",21,1384,10,1415,2021-08-19
"40 - 44",22,1735,12,1769,2021-08-19
"45 - 49",17,2906,26,2949,2021-08-19
"50 - 54",43,4513,77,4633,2021-08-19
"55 - 59",39,5480,130,5649,2021-08-19
"60 - 64",41,5478,243,5762,2021-08-19
"65 - 69",39,5357,511,5907,2021-08-19
"70 - 74",40,6298,1068,7406,2021-08-19
"75 - 79",59,5914,1738,7711,2021-08-19
"80 - 84",49,4596,1987,6632,2021-08-19
"85 - 89",36,2830,1462,4328,2021-08-19
">90",11,1241,613,1865,2021-08-19
