"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",99,3875,14,3988,2022-07-11
"20 - 24",10,1074,3,1087,2022-07-11
"25 - 29",14,1840,3,1857,2022-07-11
"30 - 34",23,2531,15,2569,2022-07-11
"35 - 39",14,2587,16,2617,2022-07-11
"40 - 44",19,2855,22,2896,2022-07-11
"45 - 49",27,4130,44,4201,2022-07-11
"50 - 54",40,6352,114,6506,2022-07-11
"55 - 59",64,7764,199,8027,2022-07-11
"60 - 64",96,8284,393,8773,2022-07-11
"65 - 69",96,8606,769,9471,2022-07-11
"70 - 74",148,10265,1555,11968,2022-07-11
"75 - 79",218,10101,2625,12944,2022-07-11
"80 - 84",195,8522,3040,11757,2022-07-11
"85 - 89",156,5704,2317,8177,2022-07-11
">90",78,2678,1075,3831,2022-07-11
