"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",54,4170,16,4240,2022-09-20
"20 - 24",6,1128,3,1137,2022-09-20
"25 - 29",13,1927,3,1943,2022-09-20
"30 - 34",17,2630,16,2663,2022-09-20
"35 - 39",12,2672,17,2701,2022-09-20
"40 - 44",18,2944,23,2985,2022-09-20
"45 - 49",11,4237,45,4293,2022-09-20
"50 - 54",34,6512,119,6665,2022-09-20
"55 - 59",40,8001,208,8249,2022-09-20
"60 - 64",46,8634,405,9085,2022-09-20
"65 - 69",75,9054,802,9931,2022-09-20
"70 - 74",100,10901,1609,12610,2022-09-20
"75 - 79",126,10960,2702,13788,2022-09-20
"80 - 84",114,9330,3121,12565,2022-09-20
"85 - 89",90,6312,2410,8812,2022-09-20
">90",48,3021,1130,4199,2022-09-20
