"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",68,4802,18,4888,2023-02-27
"20 - 24",3,1210,4,1217,2023-02-27
"25 - 29",11,2067,3,2081,2023-02-27
"30 - 34",15,2811,17,2843,2023-02-27
"35 - 39",16,2859,18,2893,2023-02-27
"40 - 44",20,3125,24,3169,2023-02-27
"45 - 49",18,4445,49,4512,2023-02-27
"50 - 54",33,6888,128,7049,2023-02-27
"55 - 59",54,8534,237,8825,2023-02-27
"60 - 64",57,9433,435,9925,2023-02-27
"65 - 69",114,10208,875,11197,2023-02-27
"70 - 74",137,12427,1727,14291,2023-02-27
"75 - 79",163,12963,2917,16043,2023-02-27
"80 - 84",186,11315,3332,14833,2023-02-27
"85 - 89",138,7825,2610,10573,2023-02-27
">90",71,3821,1265,5157,2023-02-27
