"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1613,6,1656,2021-10-28
"20 - 24",7,568,3,578,2021-10-28
"25 - 29",13,937,2,952,2021-10-28
"30 - 34",14,1366,11,1391,2021-10-28
"35 - 39",20,1539,10,1569,2021-10-28
"40 - 44",20,1916,13,1949,2021-10-28
"45 - 49",16,3102,28,3146,2021-10-28
"50 - 54",32,4745,77,4854,2021-10-28
"55 - 59",34,5735,138,5907,2021-10-28
"60 - 64",64,5699,251,6014,2021-10-28
"65 - 69",61,5582,525,6168,2021-10-28
"70 - 74",81,6542,1101,7724,2021-10-28
"75 - 79",110,6146,1803,8059,2021-10-28
"80 - 84",131,4827,2082,7040,2021-10-28
"85 - 89",88,2980,1523,4591,2021-10-28
">90",38,1319,651,2008,2021-10-28
