"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",77,3610,12,3699,2022-04-18
"20 - 24",5,1031,3,1039,2022-04-18
"25 - 29",20,1756,3,1779,2022-04-18
"30 - 34",17,2448,15,2480,2022-04-18
"35 - 39",21,2516,14,2551,2022-04-18
"40 - 44",22,2775,22,2819,2022-04-18
"45 - 49",25,4043,41,4109,2022-04-18
"50 - 54",55,6172,110,6337,2022-04-18
"55 - 59",71,7512,192,7775,2022-04-18
"60 - 64",104,7959,367,8430,2022-04-18
"65 - 69",133,8114,742,8989,2022-04-18
"70 - 74",178,9663,1519,11360,2022-04-18
"75 - 79",212,9426,2548,12186,2022-04-18
"80 - 84",202,7896,2958,11056,2022-04-18
"85 - 89",161,5170,2246,7577,2022-04-18
">90",81,2386,1016,3483,2022-04-18
