"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",83,3828,12,3923,2022-06-30
"20 - 24",10,1065,3,1078,2022-06-30
"25 - 29",11,1825,3,1839,2022-06-30
"30 - 34",14,2516,15,2545,2022-06-30
"35 - 39",19,2567,16,2602,2022-06-30
"40 - 44",17,2843,22,2882,2022-06-30
"45 - 49",15,4118,42,4175,2022-06-30
"50 - 54",42,6329,113,6484,2022-06-30
"55 - 59",56,7719,198,7973,2022-06-30
"60 - 64",76,8226,387,8689,2022-06-30
"65 - 69",99,8499,767,9365,2022-06-30
"70 - 74",130,10155,1550,11835,2022-06-30
"75 - 79",173,9984,2614,12771,2022-06-30
"80 - 84",159,8412,3025,11596,2022-06-30
"85 - 89",109,5626,2309,8044,2022-06-30
">90",60,2634,1066,3760,2022-06-30
