"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,4256,16,4337,2022-10-14
"20 - 24",4,1142,4,1150,2022-10-14
"25 - 29",17,1947,3,1967,2022-10-14
"30 - 34",20,2650,16,2686,2022-10-14
"35 - 39",16,2695,17,2728,2022-10-14
"40 - 44",29,2967,23,3019,2022-10-14
"45 - 49",17,4267,46,4330,2022-10-14
"50 - 54",46,6555,121,6722,2022-10-14
"55 - 59",51,8081,211,8343,2022-10-14
"60 - 64",75,8747,408,9230,2022-10-14
"65 - 69",152,9204,811,10167,2022-10-14
"70 - 74",168,11124,1625,12917,2022-10-14
"75 - 79",217,11265,2725,14207,2022-10-14
"80 - 84",214,9636,3150,13000,2022-10-14
"85 - 89",171,6541,2434,9146,2022-10-14
">90",82,3143,1147,4372,2022-10-14
