"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",58,4131,16,4205,2022-09-08
"20 - 24",4,1125,3,1132,2022-09-08
"25 - 29",14,1917,3,1934,2022-09-08
"30 - 34",14,2623,16,2653,2022-09-08
"35 - 39",12,2659,17,2688,2022-09-08
"40 - 44",17,2934,23,2974,2022-09-08
"45 - 49",16,4225,45,4286,2022-09-08
"50 - 54",41,6486,118,6645,2022-09-08
"55 - 59",40,7973,208,8221,2022-09-08
"60 - 64",46,8606,405,9057,2022-09-08
"65 - 69",73,9014,796,9883,2022-09-08
"70 - 74",87,10853,1607,12547,2022-09-08
"75 - 79",121,10879,2700,13700,2022-09-08
"80 - 84",113,9250,3116,12479,2022-09-08
"85 - 89",78,6264,2400,8742,2022-09-08
">90",37,2989,1127,4153,2022-09-08
