"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",59,1725,10,1794,2021-11-19
"20 - 24",4,602,3,609,2021-11-19
"25 - 29",24,992,2,1018,2021-11-19
"30 - 34",28,1452,11,1491,2021-11-19
"35 - 39",32,1629,10,1671,2021-11-19
"40 - 44",24,2009,14,2047,2021-11-19
"45 - 49",45,3203,28,3276,2021-11-19
"50 - 54",64,4880,78,5022,2021-11-19
"55 - 59",76,5888,141,6105,2021-11-19
"60 - 64",124,5919,261,6304,2021-11-19
"65 - 69",153,5810,547,6510,2021-11-19
"70 - 74",214,6832,1148,8194,2021-11-19
"75 - 79",282,6484,1902,8668,2021-11-19
"80 - 84",267,5141,2223,7631,2021-11-19
"85 - 89",202,3218,1634,5054,2021-11-19
">90",85,1423,706,2214,2021-11-19
