"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",70,4213,16,4299,2022-10-06
"20 - 24",6,1137,4,1147,2022-10-06
"25 - 29",15,1937,3,1955,2022-10-06
"30 - 34",16,2644,16,2676,2022-10-06
"35 - 39",15,2685,17,2717,2022-10-06
"40 - 44",23,2961,23,3007,2022-10-06
"45 - 49",15,4255,45,4315,2022-10-06
"50 - 54",36,6541,119,6696,2022-10-06
"55 - 59",52,8057,210,8319,2022-10-06
"60 - 64",80,8688,407,9175,2022-10-06
"65 - 69",106,9143,806,10055,2022-10-06
"70 - 74",128,11032,1616,12776,2022-10-06
"75 - 79",195,11132,2715,14042,2022-10-06
"80 - 84",180,9500,3144,12824,2022-10-06
"85 - 89",153,6441,2421,9015,2022-10-06
">90",74,3094,1137,4305,2022-10-06
