"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",94,3452,12,3558,2022-03-31
"20 - 24",11,1010,3,1024,2022-03-31
"25 - 29",22,1715,3,1740,2022-03-31
"30 - 34",28,2390,15,2433,2022-03-31
"35 - 39",34,2475,13,2522,2022-03-31
"40 - 44",28,2730,21,2779,2022-03-31
"45 - 49",34,3995,40,4069,2022-03-31
"50 - 54",65,6090,108,6263,2022-03-31
"55 - 59",89,7394,182,7665,2022-03-31
"60 - 64",125,7776,358,8259,2022-03-31
"65 - 69",179,7864,727,8770,2022-03-31
"70 - 74",233,9330,1489,11052,2022-03-31
"75 - 79",286,9061,2501,11848,2022-03-31
"80 - 84",284,7536,2925,10745,2022-03-31
"85 - 89",211,4912,2212,7335,2022-03-31
">90",124,2228,988,3340,2022-03-31
