"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,4447,17,4531,2022-11-23
"20 - 24",5,1177,4,1186,2022-11-23
"25 - 29",11,1994,3,2008,2022-11-23
"30 - 34",12,2716,16,2744,2022-11-23
"35 - 39",15,2770,17,2802,2022-11-23
"40 - 44",23,3027,24,3074,2022-11-23
"45 - 49",14,4326,47,4387,2022-11-23
"50 - 54",48,6677,123,6848,2022-11-23
"55 - 59",50,8246,219,8515,2022-11-23
"60 - 64",69,8978,416,9463,2022-11-23
"65 - 69",91,9564,833,10488,2022-11-23
"70 - 74",111,11609,1653,13373,2022-11-23
"75 - 79",165,11893,2794,14852,2022-11-23
"80 - 84",143,10231,3222,13596,2022-11-23
"85 - 89",104,6978,2492,9574,2022-11-23
">90",51,3388,1190,4629,2022-11-23
