"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",58,2032,10,2100,2021-12-30
"20 - 24",8,682,3,693,2021-12-30
"25 - 29",21,1155,3,1179,2021-12-30
"30 - 34",23,1683,13,1719,2021-12-30
"35 - 39",26,1888,11,1925,2021-12-30
"40 - 44",25,2252,17,2294,2021-12-30
"45 - 49",32,3524,30,3586,2021-12-30
"50 - 54",80,5341,88,5509,2021-12-30
"55 - 59",98,6432,160,6690,2021-12-30
"60 - 64",112,6641,306,7059,2021-12-30
"65 - 69",151,6619,635,7405,2021-12-30
"70 - 74",196,7769,1335,9300,2021-12-30
"75 - 79",232,7491,2228,9951,2021-12-30
"80 - 84",168,6033,2623,8824,2021-12-30
"85 - 89",96,3831,1952,5879,2021-12-30
">90",45,1710,836,2591,2021-12-30
