"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,3681,12,3759,2022-05-03
"20 - 24",3,1041,3,1047,2022-05-03
"25 - 29",16,1777,3,1796,2022-05-03
"30 - 34",12,2472,15,2499,2022-05-03
"35 - 39",17,2527,15,2559,2022-05-03
"40 - 44",17,2790,22,2829,2022-05-03
"45 - 49",18,4062,41,4121,2022-05-03
"50 - 54",57,6225,110,6392,2022-05-03
"55 - 59",61,7583,197,7841,2022-05-03
"60 - 64",79,8053,375,8507,2022-05-03
"65 - 69",112,8244,751,9107,2022-05-03
"70 - 74",136,9843,1530,11509,2022-05-03
"75 - 79",167,9623,2574,12364,2022-05-03
"80 - 84",143,8068,2985,11196,2022-05-03
"85 - 89",132,5314,2268,7714,2022-05-03
">90",68,2458,1036,3562,2022-05-03
