"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",85,2923,11,3019,2022-02-26
"20 - 24",20,904,3,927,2022-02-26
"25 - 29",22,1527,3,1552,2022-02-26
"30 - 34",26,2153,13,2192,2022-02-26
"35 - 39",30,2273,13,2316,2022-02-26
"40 - 44",33,2573,20,2626,2022-02-26
"45 - 49",31,3825,35,3891,2022-02-26
"50 - 54",64,5813,100,5977,2022-02-26
"55 - 59",69,7020,173,7262,2022-02-26
"60 - 64",103,7281,338,7722,2022-02-26
"65 - 69",130,7253,696,8079,2022-02-26
"70 - 74",175,8606,1418,10199,2022-02-26
"75 - 79",202,8277,2393,10872,2022-02-26
"80 - 84",163,6742,2808,9713,2022-02-26
"85 - 89",134,4313,2093,6540,2022-02-26
">90",41,1949,917,2907,2022-02-26
