"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",85,2909,11,3005,2022-02-23
"20 - 24",20,893,3,916,2022-02-23
"25 - 29",28,1513,3,1544,2022-02-23
"30 - 34",22,2138,13,2173,2022-02-23
"35 - 39",36,2254,13,2303,2022-02-23
"40 - 44",39,2553,20,2612,2022-02-23
"45 - 49",34,3813,35,3882,2022-02-23
"50 - 54",75,5785,100,5960,2022-02-23
"55 - 59",81,6987,171,7239,2022-02-23
"60 - 64",108,7246,338,7692,2022-02-23
"65 - 69",139,7210,692,8041,2022-02-23
"70 - 74",179,8555,1417,10151,2022-02-23
"75 - 79",208,8223,2386,10817,2022-02-23
"80 - 84",182,6686,2797,9665,2022-02-23
"85 - 89",143,4280,2085,6508,2022-02-23
">90",45,1926,917,2888,2022-02-23
