"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",60,4721,18,4799,2023-02-06
"20 - 24",4,1200,4,1208,2023-02-06
"25 - 29",11,2054,3,2068,2023-02-06
"30 - 34",14,2795,17,2826,2023-02-06
"35 - 39",10,2842,18,2870,2023-02-06
"40 - 44",17,3107,24,3148,2023-02-06
"45 - 49",12,4430,49,4491,2023-02-06
"50 - 54",27,6851,128,7006,2023-02-06
"55 - 59",43,8487,234,8764,2023-02-06
"60 - 64",46,9358,431,9835,2023-02-06
"65 - 69",81,10083,863,11027,2023-02-06
"70 - 74",88,12263,1709,14060,2023-02-06
"75 - 79",137,12749,2895,15781,2023-02-06
"80 - 84",117,11101,3308,14526,2023-02-06
"85 - 89",105,7685,2586,10376,2023-02-06
">90",50,3733,1249,5032,2023-02-06
