"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",80,3786,12,3878,2022-06-20
"20 - 24",5,1058,3,1066,2022-06-20
"25 - 29",13,1814,3,1830,2022-06-20
"30 - 34",13,2501,15,2529,2022-06-20
"35 - 39",13,2557,16,2586,2022-06-20
"40 - 44",20,2831,22,2873,2022-06-20
"45 - 49",16,4103,42,4161,2022-06-20
"50 - 54",42,6309,112,6463,2022-06-20
"55 - 59",44,7683,198,7925,2022-06-20
"60 - 64",64,8176,386,8626,2022-06-20
"65 - 69",78,8425,762,9265,2022-06-20
"70 - 74",91,10085,1546,11722,2022-06-20
"75 - 79",150,9882,2607,12639,2022-06-20
"80 - 84",123,8321,3018,11462,2022-06-20
"85 - 89",97,5545,2298,7940,2022-06-20
">90",54,2590,1059,3703,2022-06-20
