"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,4241,15,4321,2022-10-12
"20 - 24",5,1141,4,1150,2022-10-12
"25 - 29",16,1944,3,1963,2022-10-12
"30 - 34",21,2648,16,2685,2022-10-12
"35 - 39",19,2689,17,2725,2022-10-12
"40 - 44",23,2966,23,3012,2022-10-12
"45 - 49",16,4265,46,4327,2022-10-12
"50 - 54",44,6550,121,6715,2022-10-12
"55 - 59",52,8075,211,8338,2022-10-12
"60 - 64",87,8727,407,9221,2022-10-12
"65 - 69",132,9184,810,10126,2022-10-12
"70 - 74",151,11092,1623,12866,2022-10-12
"75 - 79",204,11233,2723,14160,2022-10-12
"80 - 84",212,9592,3144,12948,2022-10-12
"85 - 89",173,6507,2432,9112,2022-10-12
">90",82,3127,1144,4353,2022-10-12
