"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",52,1679,10,1741,2021-11-15
"20 - 24",5,597,3,605,2021-11-15
"25 - 29",22,983,2,1007,2021-11-15
"30 - 34",18,1429,11,1458,2021-11-15
"35 - 39",30,1604,10,1644,2021-11-15
"40 - 44",38,1981,14,2033,2021-11-15
"45 - 49",38,3180,28,3246,2021-11-15
"50 - 54",64,4840,78,4982,2021-11-15
"55 - 59",76,5837,140,6053,2021-11-15
"60 - 64",103,5858,260,6221,2021-11-15
"65 - 69",132,5753,542,6427,2021-11-15
"70 - 74",185,6735,1137,8057,2021-11-15
"75 - 79",232,6386,1883,8501,2021-11-15
"80 - 84",261,5040,2168,7469,2021-11-15
"85 - 89",178,3151,1605,4934,2021-11-15
">90",77,1393,692,2162,2021-11-15
