"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",63,4927,18,5008,2023-03-21
"20 - 24",4,1225,4,1233,2023-03-21
"25 - 29",12,2087,3,2102,2023-03-21
"30 - 34",16,2840,18,2874,2023-03-21
"35 - 39",16,2887,19,2922,2023-03-21
"40 - 44",21,3157,25,3203,2023-03-21
"45 - 49",17,4490,50,4557,2023-03-21
"50 - 54",41,6956,129,7126,2023-03-21
"55 - 59",66,8634,242,8942,2023-03-21
"60 - 64",80,9586,441,10107,2023-03-21
"65 - 69",125,10437,886,11448,2023-03-21
"70 - 74",171,12745,1750,14666,2023-03-21
"75 - 79",214,13343,2940,16497,2023-03-21
"80 - 84",236,11713,3375,15324,2023-03-21
"85 - 89",203,8120,2652,10975,2023-03-21
">90",77,3995,1283,5355,2023-03-21
