"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",94,3901,14,4009,2022-07-14
"20 - 24",12,1081,3,1096,2022-07-14
"25 - 29",14,1846,3,1863,2022-07-14
"30 - 34",24,2541,15,2580,2022-07-14
"35 - 39",9,2601,16,2626,2022-07-14
"40 - 44",22,2861,22,2905,2022-07-14
"45 - 49",31,4140,44,4215,2022-07-14
"50 - 54",40,6367,113,6520,2022-07-14
"55 - 59",72,7781,200,8053,2022-07-14
"60 - 64",91,8315,395,8801,2022-07-14
"65 - 69",108,8637,770,9515,2022-07-14
"70 - 74",161,10308,1558,12027,2022-07-14
"75 - 79",202,10174,2630,13006,2022-07-14
"80 - 84",184,8589,3045,11818,2022-07-14
"85 - 89",149,5764,2319,8232,2022-07-14
">90",83,2702,1080,3865,2022-07-14
