"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",82,4060,16,4158,2022-08-17
"20 - 24",8,1116,3,1127,2022-08-17
"25 - 29",14,1903,3,1920,2022-08-17
"30 - 34",16,2605,16,2637,2022-08-17
"35 - 39",11,2646,17,2674,2022-08-17
"40 - 44",17,2910,23,2950,2022-08-17
"45 - 49",13,4210,45,4268,2022-08-17
"50 - 54",36,6453,115,6604,2022-08-17
"55 - 59",47,7925,207,8179,2022-08-17
"60 - 64",54,8541,404,8999,2022-08-17
"65 - 69",94,8911,788,9793,2022-08-17
"70 - 74",128,10693,1593,12414,2022-08-17
"75 - 79",171,10676,2677,13524,2022-08-17
"80 - 84",139,9070,3096,12305,2022-08-17
"85 - 89",114,6107,2378,8599,2022-08-17
">90",60,2922,1113,4095,2022-08-17
