"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",70,4547,16,4633,2022-12-19
"20 - 24",3,1187,4,1194,2022-12-19
"25 - 29",14,2015,3,2032,2022-12-19
"30 - 34",14,2736,16,2766,2022-12-19
"35 - 39",15,2785,18,2818,2022-12-19
"40 - 44",19,3053,24,3096,2022-12-19
"45 - 49",24,4351,47,4422,2022-12-19
"50 - 54",37,6727,125,6889,2022-12-19
"55 - 59",57,8320,221,8598,2022-12-19
"60 - 64",51,9097,424,9572,2022-12-19
"65 - 69",101,9711,837,10649,2022-12-19
"70 - 74",95,11798,1671,13564,2022-12-19
"75 - 79",161,12121,2823,15105,2022-12-19
"80 - 84",137,10475,3243,13855,2022-12-19
"85 - 89",111,7169,2516,9796,2022-12-19
">90",70,3473,1201,4744,2022-12-19
