"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,4501,16,4584,2022-12-08
"20 - 24",4,1183,4,1191,2022-12-08
"25 - 29",14,2003,3,2020,2022-12-08
"30 - 34",12,2729,16,2757,2022-12-08
"35 - 39",14,2778,18,2810,2022-12-08
"40 - 44",20,3042,24,3086,2022-12-08
"45 - 49",16,4341,47,4404,2022-12-08
"50 - 54",34,6705,125,6864,2022-12-08
"55 - 59",49,8288,220,8557,2022-12-08
"60 - 64",50,9061,423,9534,2022-12-08
"65 - 69",88,9653,835,10576,2022-12-08
"70 - 74",99,11715,1666,13480,2022-12-08
"75 - 79",141,12039,2812,14992,2022-12-08
"80 - 84",125,10373,3235,13733,2022-12-08
"85 - 89",112,7083,2502,9697,2022-12-08
">90",45,3443,1193,4681,2022-12-08
