"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",63,4670,19,4752,2023-01-18
"20 - 24",3,1195,4,1202,2023-01-18
"25 - 29",13,2043,3,2059,2023-01-18
"30 - 34",15,2782,17,2814,2023-01-18
"35 - 39",18,2828,18,2864,2023-01-18
"40 - 44",15,3090,24,3129,2023-01-18
"45 - 49",12,4416,49,4477,2023-01-18
"50 - 54",32,6821,126,6979,2023-01-18
"55 - 59",51,8435,231,8717,2023-01-18
"60 - 64",52,9308,426,9786,2023-01-18
"65 - 69",91,9996,856,10943,2023-01-18
"70 - 74",112,12149,1699,13960,2023-01-18
"75 - 79",168,12575,2869,15612,2023-01-18
"80 - 84",137,10925,3292,14354,2023-01-18
"85 - 89",117,7559,2569,10245,2023-01-18
">90",54,3667,1237,4958,2023-01-18
