"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",78,4038,15,4131,2022-08-09
"20 - 24",6,1112,3,1121,2022-08-09
"25 - 29",15,1892,3,1910,2022-08-09
"30 - 34",18,2598,15,2631,2022-08-09
"35 - 39",11,2640,17,2668,2022-08-09
"40 - 44",12,2905,23,2940,2022-08-09
"45 - 49",14,4200,45,4259,2022-08-09
"50 - 54",37,6436,115,6588,2022-08-09
"55 - 59",54,7899,205,8158,2022-08-09
"60 - 64",65,8512,402,8979,2022-08-09
"65 - 69",91,8872,786,9749,2022-08-09
"70 - 74",138,10625,1589,12352,2022-08-09
"75 - 79",161,10597,2668,13426,2022-08-09
"80 - 84",164,8975,3086,12225,2022-08-09
"85 - 89",118,6050,2368,8536,2022-08-09
">90",57,2883,1109,4049,2022-08-09
