"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1618,6,1658,2021-10-29
"20 - 24",5,571,3,579,2021-10-29
"25 - 29",13,938,2,953,2021-10-29
"30 - 34",14,1370,11,1395,2021-10-29
"35 - 39",23,1540,10,1573,2021-10-29
"40 - 44",17,1919,13,1949,2021-10-29
"45 - 49",18,3103,28,3149,2021-10-29
"50 - 54",32,4750,77,4859,2021-10-29
"55 - 59",38,5738,138,5914,2021-10-29
"60 - 64",63,5704,252,6019,2021-10-29
"65 - 69",63,5589,525,6177,2021-10-29
"70 - 74",86,6544,1103,7733,2021-10-29
"75 - 79",108,6154,1803,8065,2021-10-29
"80 - 84",128,4830,2086,7044,2021-10-29
"85 - 89",87,2983,1527,4597,2021-10-29
">90",41,1322,652,2015,2021-10-29
