"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,4780,19,4865,2023-02-22
"20 - 24",2,1208,4,1214,2023-02-22
"25 - 29",9,2064,3,2076,2023-02-22
"30 - 34",16,2807,17,2840,2023-02-22
"35 - 39",16,2854,18,2888,2023-02-22
"40 - 44",16,3123,24,3163,2023-02-22
"45 - 49",14,4440,49,4503,2023-02-22
"50 - 54",23,6878,129,7030,2023-02-22
"55 - 59",48,8520,236,8804,2023-02-22
"60 - 64",53,9409,435,9897,2023-02-22
"65 - 69",104,10171,871,11146,2023-02-22
"70 - 74",110,12376,1722,14208,2023-02-22
"75 - 79",149,12901,2910,15960,2023-02-22
"80 - 84",154,11248,3325,14727,2023-02-22
"85 - 89",119,7785,2606,10510,2023-02-22
">90",58,3800,1258,5116,2023-02-22
