"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,1555,6,1602,2021-10-17
"20 - 24",2,558,3,563,2021-10-17
"25 - 29",12,920,2,934,2021-10-17
"30 - 34",11,1335,11,1357,2021-10-17
"35 - 39",10,1521,10,1541,2021-10-17
"40 - 44",15,1891,13,1919,2021-10-17
"45 - 49",13,3065,28,3106,2021-10-17
"50 - 54",28,4708,77,4813,2021-10-17
"55 - 59",36,5684,134,5854,2021-10-17
"60 - 64",37,5653,249,5939,2021-10-17
"65 - 69",35,5534,522,6091,2021-10-17
"70 - 74",55,6481,1092,7628,2021-10-17
"75 - 79",53,6090,1795,7938,2021-10-17
"80 - 84",56,4765,2060,6881,2021-10-17
"85 - 89",35,2948,1504,4487,2021-10-17
">90",19,1295,639,1953,2021-10-17
