"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1554,6,1599,2021-10-15
"20 - 24",2,558,3,563,2021-10-15
"25 - 29",11,917,2,930,2021-10-15
"30 - 34",14,1331,11,1356,2021-10-15
"35 - 39",12,1520,10,1542,2021-10-15
"40 - 44",15,1889,13,1917,2021-10-15
"45 - 49",13,3063,28,3104,2021-10-15
"50 - 54",29,4707,77,4813,2021-10-15
"55 - 59",40,5677,134,5851,2021-10-15
"60 - 64",32,5650,249,5931,2021-10-15
"65 - 69",33,5531,521,6085,2021-10-15
"70 - 74",50,6479,1091,7620,2021-10-15
"75 - 79",54,6088,1795,7937,2021-10-15
"80 - 84",60,4762,2058,6880,2021-10-15
"85 - 89",35,2946,1503,4484,2021-10-15
">90",19,1292,638,1949,2021-10-15
