"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",60,4712,18,4790,2023-02-01
"20 - 24",6,1198,4,1208,2023-02-01
"25 - 29",11,2051,3,2065,2023-02-01
"30 - 34",16,2793,17,2826,2023-02-01
"35 - 39",9,2840,18,2867,2023-02-01
"40 - 44",20,3097,24,3141,2023-02-01
"45 - 49",13,4426,49,4488,2023-02-01
"50 - 54",33,6841,127,7001,2023-02-01
"55 - 59",40,8476,232,8748,2023-02-01
"60 - 64",46,9346,430,9822,2023-02-01
"65 - 69",74,10068,862,11004,2023-02-01
"70 - 74",83,12239,1709,14031,2023-02-01
"75 - 79",133,12709,2888,15730,2023-02-01
"80 - 84",125,11056,3301,14482,2023-02-01
"85 - 89",102,7659,2581,10342,2023-02-01
">90",54,3718,1247,5019,2023-02-01
