"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",76,4588,16,4680,2022-12-28
"20 - 24",2,1191,4,1197,2022-12-28
"25 - 29",19,2022,3,2044,2022-12-28
"30 - 34",15,2748,17,2780,2022-12-28
"35 - 39",17,2793,18,2828,2022-12-28
"40 - 44",19,3064,24,3107,2022-12-28
"45 - 49",13,4372,47,4432,2022-12-28
"50 - 54",41,6753,125,6919,2022-12-28
"55 - 59",53,8350,224,8627,2022-12-28
"60 - 64",60,9147,424,9631,2022-12-28
"65 - 69",110,9769,842,10721,2022-12-28
"70 - 74",120,11873,1677,13670,2022-12-28
"75 - 79",192,12221,2833,15246,2022-12-28
"80 - 84",166,10565,3254,13985,2022-12-28
"85 - 89",147,7240,2525,9912,2022-12-28
">90",79,3517,1213,4809,2022-12-28
