"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",68,3736,13,3817,2022-05-31
"20 - 24",3,1049,3,1055,2022-05-31
"25 - 29",13,1799,3,1815,2022-05-31
"30 - 34",10,2495,15,2520,2022-05-31
"35 - 39",13,2551,16,2580,2022-05-31
"40 - 44",15,2810,22,2847,2022-05-31
"45 - 49",13,4086,41,4140,2022-05-31
"50 - 54",41,6277,113,6431,2022-05-31
"55 - 59",40,7643,198,7881,2022-05-31
"60 - 64",42,8150,382,8574,2022-05-31
"65 - 69",66,8368,761,9195,2022-05-31
"70 - 74",78,10005,1541,11624,2022-05-31
"75 - 79",118,9780,2600,12498,2022-05-31
"80 - 84",87,8242,3008,11337,2022-05-31
"85 - 89",78,5464,2289,7831,2022-05-31
">90",41,2542,1051,3634,2022-05-31
