"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",58,1785,11,1854,2021-11-27
"20 - 24",4,617,3,624,2021-11-27
"25 - 29",26,1028,2,1056,2021-11-27
"30 - 34",32,1499,12,1543,2021-11-27
"35 - 39",40,1676,10,1726,2021-11-27
"40 - 44",43,2045,16,2104,2021-11-27
"45 - 49",54,3264,30,3348,2021-11-27
"50 - 54",92,4960,80,5132,2021-11-27
"55 - 59",103,5976,146,6225,2021-11-27
"60 - 64",148,6059,271,6478,2021-11-27
"65 - 69",201,5948,563,6712,2021-11-27
"70 - 74",259,7003,1177,8439,2021-11-27
"75 - 79",321,6664,1979,8964,2021-11-27
"80 - 84",296,5341,2310,7947,2021-11-27
"85 - 89",207,3345,1717,5269,2021-11-27
">90",95,1482,731,2308,2021-11-27
