"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",85,3843,13,3941,2022-07-05
"20 - 24",9,1069,3,1081,2022-07-05
"25 - 29",16,1827,3,1846,2022-07-05
"30 - 34",19,2519,15,2553,2022-07-05
"35 - 39",15,2576,16,2607,2022-07-05
"40 - 44",14,2847,22,2883,2022-07-05
"45 - 49",20,4121,43,4184,2022-07-05
"50 - 54",41,6341,113,6495,2022-07-05
"55 - 59",66,7738,198,8002,2022-07-05
"60 - 64",77,8250,390,8717,2022-07-05
"65 - 69",105,8548,769,9422,2022-07-05
"70 - 74",150,10186,1554,11890,2022-07-05
"75 - 79",198,10028,2616,12842,2022-07-05
"80 - 84",179,8455,3030,11664,2022-07-05
"85 - 89",119,5661,2314,8094,2022-07-05
">90",66,2652,1070,3788,2022-07-05
