"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,2192,12,2271,2022-01-21
"20 - 24",16,739,3,758,2022-01-21
"25 - 29",29,1254,3,1286,2022-01-21
"30 - 34",21,1792,13,1826,2022-01-21
"35 - 39",28,1981,12,2021,2022-01-21
"40 - 44",34,2342,18,2394,2022-01-21
"45 - 49",22,3622,31,3675,2022-01-21
"50 - 54",53,5505,93,5651,2022-01-21
"55 - 59",64,6647,162,6873,2022-01-21
"60 - 64",59,6883,320,7262,2022-01-21
"65 - 69",83,6837,662,7582,2022-01-21
"70 - 74",98,8063,1363,9524,2022-01-21
"75 - 79",127,7801,2305,10233,2022-01-21
"80 - 84",99,6259,2695,9053,2022-01-21
"85 - 89",71,3961,2003,6035,2022-01-21
">90",24,1779,867,2670,2022-01-21
