"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",83,3839,13,3935,2022-07-04
"20 - 24",8,1068,3,1079,2022-07-04
"25 - 29",16,1828,3,1847,2022-07-04
"30 - 34",17,2521,15,2553,2022-07-04
"35 - 39",15,2576,16,2607,2022-07-04
"40 - 44",17,2845,22,2884,2022-07-04
"45 - 49",17,4122,42,4181,2022-07-04
"50 - 54",43,6339,114,6496,2022-07-04
"55 - 59",58,7734,198,7990,2022-07-04
"60 - 64",79,8243,390,8712,2022-07-04
"65 - 69",106,8534,768,9408,2022-07-04
"70 - 74",149,10173,1554,11876,2022-07-04
"75 - 79",193,10014,2616,12823,2022-07-04
"80 - 84",173,8445,3028,11646,2022-07-04
"85 - 89",117,5651,2316,8084,2022-07-04
">90",71,2646,1071,3788,2022-07-04
