"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",59,4129,16,4204,2022-09-07
"20 - 24",4,1125,3,1132,2022-09-07
"25 - 29",13,1916,3,1932,2022-09-07
"30 - 34",15,2622,16,2653,2022-09-07
"35 - 39",10,2659,17,2686,2022-09-07
"40 - 44",17,2934,23,2974,2022-09-07
"45 - 49",16,4225,45,4286,2022-09-07
"50 - 54",40,6485,118,6643,2022-09-07
"55 - 59",39,7972,208,8219,2022-09-07
"60 - 64",53,8598,406,9057,2022-09-07
"65 - 69",75,9012,795,9882,2022-09-07
"70 - 74",95,10844,1605,12544,2022-09-07
"75 - 79",134,10867,2698,13699,2022-09-07
"80 - 84",116,9240,3117,12473,2022-09-07
"85 - 89",84,6257,2401,8742,2022-09-07
">90",36,2987,1127,4150,2022-09-07
