"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,2068,10,2119,2022-01-06
"20 - 24",8,697,3,708,2022-01-06
"25 - 29",22,1178,3,1203,2022-01-06
"30 - 34",14,1720,13,1747,2022-01-06
"35 - 39",28,1911,11,1950,2022-01-06
"40 - 44",35,2275,17,2327,2022-01-06
"45 - 49",27,3559,31,3617,2022-01-06
"50 - 54",75,5396,90,5561,2022-01-06
"55 - 59",72,6505,160,6737,2022-01-06
"60 - 64",98,6721,311,7130,2022-01-06
"65 - 69",115,6705,647,7467,2022-01-06
"70 - 74",160,7892,1345,9397,2022-01-06
"75 - 79",193,7607,2261,10061,2022-01-06
"80 - 84",136,6116,2654,8906,2022-01-06
"85 - 89",80,3874,1974,5928,2022-01-06
">90",38,1732,849,2619,2022-01-06
