"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",74,4529,16,4619,2022-12-13
"20 - 24",3,1185,4,1192,2022-12-13
"25 - 29",12,2007,3,2022,2022-12-13
"30 - 34",14,2731,16,2761,2022-12-13
"35 - 39",13,2783,18,2814,2022-12-13
"40 - 44",18,3048,24,3090,2022-12-13
"45 - 49",18,4347,47,4412,2022-12-13
"50 - 54",33,6717,124,6874,2022-12-13
"55 - 59",56,8304,220,8580,2022-12-13
"60 - 64",50,9082,423,9555,2022-12-13
"65 - 69",89,9681,838,10608,2022-12-13
"70 - 74",97,11752,1668,13517,2022-12-13
"75 - 79",147,12076,2817,15040,2022-12-13
"80 - 84",136,10425,3240,13801,2022-12-13
"85 - 89",111,7123,2508,9742,2022-12-13
">90",54,3456,1195,4705,2022-12-13
