"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",89,3361,12,3462,2022-03-24
"20 - 24",10,1001,3,1014,2022-03-24
"25 - 29",25,1689,3,1717,2022-03-24
"30 - 34",39,2344,14,2397,2022-03-24
"35 - 39",27,2445,13,2485,2022-03-24
"40 - 44",30,2705,21,2756,2022-03-24
"45 - 49",36,3961,40,4037,2022-03-24
"50 - 54",69,6032,107,6208,2022-03-24
"55 - 59",108,7306,180,7594,2022-03-24
"60 - 64",138,7659,356,8153,2022-03-24
"65 - 69",200,7719,719,8638,2022-03-24
"70 - 74",235,9159,1472,10866,2022-03-24
"75 - 79",285,8885,2473,11643,2022-03-24
"80 - 84",267,7347,2901,10515,2022-03-24
"85 - 89",205,4764,2185,7154,2022-03-24
">90",117,2151,976,3244,2022-03-24
