"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",82,3560,11,3653,2022-04-10
"20 - 24",5,1027,3,1035,2022-04-10
"25 - 29",15,1739,3,1757,2022-04-10
"30 - 34",21,2427,15,2463,2022-04-10
"35 - 39",20,2504,14,2538,2022-04-10
"40 - 44",28,2758,22,2808,2022-04-10
"45 - 49",36,4019,41,4096,2022-04-10
"50 - 54",62,6145,109,6316,2022-04-10
"55 - 59",89,7467,188,7744,2022-04-10
"60 - 64",115,7884,364,8363,2022-04-10
"65 - 69",167,8006,738,8911,2022-04-10
"70 - 74",206,9540,1508,11254,2022-04-10
"75 - 79",270,9281,2530,12081,2022-04-10
"80 - 84",218,7759,2948,10925,2022-04-10
"85 - 89",172,5077,2233,7482,2022-04-10
">90",97,2334,1003,3434,2022-04-10
