"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,1841,11,1917,2021-12-02
"20 - 24",14,623,3,640,2021-12-02
"25 - 29",25,1054,2,1081,2021-12-02
"30 - 34",25,1530,12,1567,2021-12-02
"35 - 39",46,1718,11,1775,2021-12-02
"40 - 44",58,2079,16,2153,2021-12-02
"45 - 49",66,3311,30,3407,2021-12-02
"50 - 54",99,5024,82,5205,2021-12-02
"55 - 59",119,6054,149,6322,2021-12-02
"60 - 64",169,6155,275,6599,2021-12-02
"65 - 69",210,6066,572,6848,2021-12-02
"70 - 74",292,7125,1204,8621,2021-12-02
"75 - 79",347,6805,2033,9185,2021-12-02
"80 - 84",311,5463,2378,8152,2021-12-02
"85 - 89",230,3443,1762,5435,2021-12-02
">90",93,1531,752,2376,2021-12-02
