"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,3683,12,3762,2022-05-04
"20 - 24",3,1041,3,1047,2022-05-04
"25 - 29",15,1778,3,1796,2022-05-04
"30 - 34",12,2474,15,2501,2022-05-04
"35 - 39",16,2527,15,2558,2022-05-04
"40 - 44",18,2790,22,2830,2022-05-04
"45 - 49",17,4063,41,4121,2022-05-04
"50 - 54",54,6229,111,6394,2022-05-04
"55 - 59",56,7588,198,7842,2022-05-04
"60 - 64",70,8063,376,8509,2022-05-04
"65 - 69",98,8251,752,9101,2022-05-04
"70 - 74",129,9860,1529,11518,2022-05-04
"75 - 79",158,9628,2579,12365,2022-05-04
"80 - 84",135,8079,2987,11201,2022-05-04
"85 - 89",124,5322,2269,7715,2022-05-04
">90",61,2464,1038,3563,2022-05-04
