"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",72,3632,12,3716,2022-04-19
"20 - 24",7,1032,3,1042,2022-04-19
"25 - 29",22,1758,3,1783,2022-04-19
"30 - 34",18,2456,15,2489,2022-04-19
"35 - 39",17,2519,14,2550,2022-04-19
"40 - 44",19,2780,22,2821,2022-04-19
"45 - 49",22,4047,41,4110,2022-04-19
"50 - 54",50,6188,109,6347,2022-04-19
"55 - 59",75,7521,192,7788,2022-04-19
"60 - 64",99,7977,369,8445,2022-04-19
"65 - 69",136,8133,744,9013,2022-04-19
"70 - 74",182,9686,1521,11389,2022-04-19
"75 - 79",215,9459,2553,12227,2022-04-19
"80 - 84",200,7926,2964,11090,2022-04-19
"85 - 89",159,5194,2249,7602,2022-04-19
">90",84,2399,1021,3504,2022-04-19
