"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",74,2965,11,3050,2022-02-28
"20 - 24",16,911,3,930,2022-02-28
"25 - 29",23,1532,3,1558,2022-02-28
"30 - 34",22,2163,13,2198,2022-02-28
"35 - 39",25,2281,13,2319,2022-02-28
"40 - 44",29,2587,21,2637,2022-02-28
"45 - 49",33,3837,35,3905,2022-02-28
"50 - 54",63,5829,100,5992,2022-02-28
"55 - 59",70,7037,174,7281,2022-02-28
"60 - 64",104,7305,341,7750,2022-02-28
"65 - 69",135,7280,697,8112,2022-02-28
"70 - 74",174,8633,1421,10228,2022-02-28
"75 - 79",211,8308,2400,10919,2022-02-28
"80 - 84",171,6770,2815,9756,2022-02-28
"85 - 89",133,4335,2099,6567,2022-02-28
">90",42,1957,920,2919,2022-02-28
