"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",72,4446,16,4534,2022-11-21
"20 - 24",5,1177,4,1186,2022-11-21
"25 - 29",12,1990,3,2005,2022-11-21
"30 - 34",13,2714,16,2743,2022-11-21
"35 - 39",14,2769,17,2800,2022-11-21
"40 - 44",24,3025,24,3073,2022-11-21
"45 - 49",15,4324,47,4386,2022-11-21
"50 - 54",42,6676,123,6841,2022-11-21
"55 - 59",48,8244,219,8511,2022-11-21
"60 - 64",72,8974,415,9461,2022-11-21
"65 - 69",90,9558,832,10480,2022-11-21
"70 - 74",122,11592,1652,13366,2022-11-21
"75 - 79",169,11873,2792,14834,2022-11-21
"80 - 84",146,10216,3217,13579,2022-11-21
"85 - 89",106,6969,2491,9566,2022-11-21
">90",52,3383,1188,4623,2022-11-21
