"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",84,3850,13,3947,2022-07-06
"20 - 24",9,1069,3,1081,2022-07-06
"25 - 29",16,1833,3,1852,2022-07-06
"30 - 34",18,2521,15,2554,2022-07-06
"35 - 39",12,2581,16,2609,2022-07-06
"40 - 44",17,2847,22,2886,2022-07-06
"45 - 49",19,4124,43,4186,2022-07-06
"50 - 54",42,6341,113,6496,2022-07-06
"55 - 59",65,7745,198,8008,2022-07-06
"60 - 64",73,8254,390,8717,2022-07-06
"65 - 69",100,8556,770,9426,2022-07-06
"70 - 74",142,10202,1555,11899,2022-07-06
"75 - 79",196,10041,2616,12853,2022-07-06
"80 - 84",181,8466,3030,11677,2022-07-06
"85 - 89",124,5669,2315,8108,2022-07-06
">90",62,2659,1071,3792,2022-07-06
