"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",73,4277,15,4365,2022-10-19
"20 - 24",5,1143,4,1152,2022-10-19
"25 - 29",15,1952,3,1970,2022-10-19
"30 - 34",15,2661,16,2692,2022-10-19
"35 - 39",17,2701,17,2735,2022-10-19
"40 - 44",28,2975,23,3026,2022-10-19
"45 - 49",17,4276,46,4339,2022-10-19
"50 - 54",51,6572,121,6744,2022-10-19
"55 - 59",58,8105,212,8375,2022-10-19
"60 - 64",83,8781,410,9274,2022-10-19
"65 - 69",153,9254,812,10219,2022-10-19
"70 - 74",170,11204,1627,13001,2022-10-19
"75 - 79",236,11360,2732,14328,2022-10-19
"80 - 84",223,9742,3164,13129,2022-10-19
"85 - 89",168,6618,2445,9231,2022-10-19
">90",84,3186,1153,4423,2022-10-19
