"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",83,4091,16,4190,2022-08-23
"20 - 24",7,1120,3,1130,2022-08-23
"25 - 29",16,1910,3,1929,2022-08-23
"30 - 34",13,2613,16,2642,2022-08-23
"35 - 39",12,2649,17,2678,2022-08-23
"40 - 44",17,2918,23,2958,2022-08-23
"45 - 49",15,4216,45,4276,2022-08-23
"50 - 54",38,6466,116,6620,2022-08-23
"55 - 59",41,7941,207,8189,2022-08-23
"60 - 64",46,8571,405,9022,2022-08-23
"65 - 69",63,8962,794,9819,2022-08-23
"70 - 74",120,10747,1597,12464,2022-08-23
"75 - 79",145,10747,2685,13577,2022-08-23
"80 - 84",126,9142,3101,12369,2022-08-23
"85 - 89",113,6160,2384,8657,2022-08-23
">90",43,2957,1117,4117,2022-08-23
