"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1546,6,1586,2021-10-12
"20 - 24",3,555,3,561,2021-10-12
"25 - 29",10,915,2,927,2021-10-12
"30 - 34",13,1321,11,1345,2021-10-12
"35 - 39",13,1514,10,1537,2021-10-12
"40 - 44",13,1883,13,1909,2021-10-12
"45 - 49",21,3051,28,3100,2021-10-12
"50 - 54",25,4702,77,4804,2021-10-12
"55 - 59",30,5668,134,5832,2021-10-12
"60 - 64",28,5640,248,5916,2021-10-12
"65 - 69",28,5520,520,6068,2021-10-12
"70 - 74",51,6468,1091,7610,2021-10-12
"75 - 79",55,6070,1794,7919,2021-10-12
"80 - 84",51,4753,2055,6859,2021-10-12
"85 - 89",30,2938,1500,4468,2021-10-12
">90",15,1291,635,1941,2021-10-12
