"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",57,4171,16,4244,2022-09-22
"20 - 24",6,1129,3,1138,2022-09-22
"25 - 29",12,1928,3,1943,2022-09-22
"30 - 34",15,2631,16,2662,2022-09-22
"35 - 39",12,2673,17,2702,2022-09-22
"40 - 44",19,2945,23,2987,2022-09-22
"45 - 49",10,4239,45,4294,2022-09-22
"50 - 54",36,6513,119,6668,2022-09-22
"55 - 59",44,8004,208,8256,2022-09-22
"60 - 64",48,8637,405,9090,2022-09-22
"65 - 69",72,9061,801,9934,2022-09-22
"70 - 74",113,10910,1609,12632,2022-09-22
"75 - 79",125,10984,2702,13811,2022-09-22
"80 - 84",117,9345,3125,12587,2022-09-22
"85 - 89",81,6325,2410,8816,2022-09-22
">90",39,3032,1129,4200,2022-09-22
